History Log

Talk Group, Frequency, Tone, RSSI, UID, Mod, Hits, Duration, Start Date / Time, System / Site, Department, Channel, System Type, Digital Status, Service Type, Number Tune
, 859.762500, , -103, , FM, 18, 00:00:50, 05/31/23 05:46:35, Department of Transportation (Caltrans), Operations - Statewide, North, Conventional, , Public Works, -  -
, 162.425000, , -98, , FM, 4, 00:04:21, 05/31/23 05:48:51, National Weather Service - USA, Weather Radio, Weather Radio 162.425, Conventional, , Other, -  -
, 162.475000, , -96, , FM, 3, 00:01:41, 05/31/23 05:53:12, National Weather Service - USA, Weather Radio, Weather Radio 162.475, Conventional, , Other, -  -
, 859.762500, , -109, , FM, 20, 00:02:50, 05/31/23 05:55:48, Department of Transportation (Caltrans), Operations - Statewide, North, Conventional, , Public Works, -  -
624, 856.762500, , -99, 49383, NFM, 9, 00:00:07, 05/31/23 05:59:06, Caltrans (District 4 - North) / Big Rock Ridge (Rcvr Voting), Operations, Bay Bridge Tow, Motorola, , Public Works, -  -
, 52.525000, , -80, , FM, 316, 00:00:06, 05/31/23 05:59:43, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 6m FM Primary Calling, Conventional, , Ham, -  -
, 52.525000, , -82, , FM, 329, 00:00:03, 05/31/23 06:00:01, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 6m FM Primary Calling, Conventional, , Ham, -  -
, 52.525000, , -80, , FM, 331, 00:00:03, 05/31/23 06:00:05, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 6m FM Primary Calling, Conventional, , Ham, -  -
, 52.525000, , -80, , FM, 339, 00:00:03, 05/31/23 06:00:15, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 6m FM Primary Calling, Conventional, , Ham, -  -
, 52.525000, , -81, , FM, 340, 00:00:04, 05/31/23 06:00:18, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 6m FM Primary Calling, Conventional, , Ham, -  -
, 52.525000, , -81, , FM, 341, 00:00:41, 05/31/23 06:00:23, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 6m FM Primary Calling, Conventional, , Ham, -  -
, 52.525000, , -83, , FM, 344, 00:00:02, 05/31/23 06:01:07, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 6m FM Primary Calling, Conventional, , Ham, -  -
, 52.525000, , -81, , FM, 346, 00:00:18, 05/31/23 06:01:11, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 6m FM Primary Calling, Conventional, , Ham, -  -
, 52.525000, , -82, , FM, 347, 00:00:05, 05/31/23 06:01:29, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 6m FM Primary Calling, Conventional, , Ham, -  -
, 52.525000, , -80, , FM, 350, 00:00:07, 05/31/23 06:01:35, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 6m FM Primary Calling, Conventional, , Ham, -  -
, 52.525000, , -82, , FM, 355, 00:00:02, 05/31/23 06:01:46, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 6m FM Primary Calling, Conventional, , Ham, -  -
, 52.525000, , -80, , FM, 361, 00:00:04, 05/31/23 06:01:53, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 6m FM Primary Calling, Conventional, , Ham, -  -
, 52.525000, , -81, , FM, 362, 00:00:02, 05/31/23 06:01:57, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 6m FM Primary Calling, Conventional, , Ham, -  -
, 52.525000, , -82, , FM, 365, 00:00:02, 05/31/23 06:02:01, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 6m FM Primary Calling, Conventional, , Ham, -  -
