History Log

Talk Group, Frequency, Tone, RSSI, UID, Mod, Hits, Duration, Start Date / Time, System / Site, Department, Channel, System Type, Digital Status, Service Type, Number Tune
5557, 852.600000, N000, -83, 4352107, NFM, 18, 00:00:01, 05/11/23 08:17:16, East Bay Regional Communications System (EBRCS) / CCCO West Simulcast, AMR (Contra Costa County), Tac, P25 Trunk, PT1, EMS-Tac, -  -
5557, 851.362500, N000, -82, 4352107, NFM, 19, 00:00:01, 05/11/23 08:17:28, East Bay Regional Communications System (EBRCS) / CCCO West Simulcast, AMR (Contra Costa County), Tac, P25 Trunk, PT1, EMS-Tac, -  -
7506, 852.600000, N000, -78, 4300068, NFM, 20, 00:00:08, 05/11/23 08:17:36, East Bay Regional Communications System (EBRCS) / CCCO West Simulcast, Richmond, Police Ch 2, P25 Trunk, PT0, Law Tac, -  -
7726, 852.925000, , -102, 4010012, NFM, 8, 00:00:03, 05/11/23 08:17:51, East Bay Regional Communications System (EBRCS) / CCCO West Simulcast, Contra Costa County Sheriff, Dispatch West, P25 Trunk, Link, Law Dispatch, -  -
7726, 852.600000, , -104, 4010012, NFM, 9, 00:00:08, 05/11/23 08:18:09, East Bay Regional Communications System (EBRCS) / CCCO West Simulcast, Contra Costa County Sheriff, Dispatch West, P25 Trunk, Link, Law Dispatch, -  -
7505, 852.925000, N000, -102, 4282000, NFM, 20, 00:00:07, 05/11/23 08:18:29, East Bay Regional Communications System (EBRCS) / CCCO West Simulcast, Richmond, Police Dispatch, P25 Trunk, Link, Law Dispatch, -  -
7655, 852.937500, N000, -100, 4314127, NFM, 51, 00:00:03, 05/11/23 08:19:11, East Bay Regional Communications System (EBRCS) / CCCO West Simulcast, San Pablo, Police Dispatch, P25 Trunk, Link, Law Dispatch, -  -
7655, 851.362500, N000, -103, 4314117, NFM, 52, 00:00:02, 05/11/23 08:19:15, East Bay Regional Communications System (EBRCS) / CCCO West Simulcast, San Pablo, Police Dispatch, P25 Trunk, Link, Law Dispatch, -  -
7255, 852.925000, , -80, 4245002, NFM, 25, 00:00:03, 05/11/23 08:19:31, East Bay Regional Communications System (EBRCS) / CCCO West Simulcast, Pinole, Police Dispatch, P25 Trunk, PT1, Law Dispatch, -  -
7655, 852.600000, N000, -103, 4314127, NFM, 53, 00:00:05, 05/11/23 08:19:49, East Bay Regional Communications System (EBRCS) / CCCO West Simulcast, San Pablo, Police Dispatch, P25 Trunk, Link, Law Dispatch, -  -
7955, 852.600000, , -82, 4355002, NFM, 5, 00:00:04, 05/11/23 08:20:02, East Bay Regional Communications System (EBRCS) / CCCO West Simulcast, Vallejo, Police Dispatch, P25 Trunk, PT1, Law Dispatch, -  -
3105, 852.937500, N000, -82, 3113006, NFM, 35, 00:00:07, 05/11/23 08:20:12, East Bay Regional Communications System (EBRCS) / CCCO West Simulcast, Berkeley, Police Dispatch, P25 Trunk, PT0, Law Dispatch, -  -
7726, 852.925000, , -103, 4010012, NFM, 10, 00:00:02, 05/11/23 08:20:28, East Bay Regional Communications System (EBRCS) / CCCO West Simulcast, Contra Costa County Sheriff, Dispatch West, P25 Trunk, Link, Law Dispatch, -  -
7726, 851.362500, , -103, 4010012, NFM, 11, 00:00:07, 05/11/23 08:20:36, East Bay Regional Communications System (EBRCS) / CCCO West Simulcast, Contra Costa County Sheriff, Dispatch West, P25 Trunk, Link, Law Dispatch, -  -
