History Log

Talk Group, Frequency, Tone, RSSI, UID, Mod, Hits, Duration, Start Date / Time, System / Site, Department, Channel, System Type, Digital Status, Service Type, Number Tune
, 29.600000, , -103, , FM, 1, 00:00:07, 05/29/23 06:43:17, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -104, , FM, 2, 00:00:00, 05/29/23 06:43:26, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -104, , FM, 3, 00:00:08, 05/29/23 06:43:27, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -103, , FM, 4, 00:00:00, 05/29/23 06:43:36, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -104, , FM, 5, 00:00:01, 05/29/23 06:43:37, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -104, , FM, 6, 00:00:01, 05/29/23 06:43:39, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -104, , FM, 7, 00:00:01, 05/29/23 06:43:41, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -105, , FM, 8, 00:00:08, 05/29/23 06:43:42, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -104, , FM, 9, 00:00:04, 05/29/23 06:43:51, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -104, , FM, 10, 00:00:00, 05/29/23 06:43:56, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -104, , FM, 11, 00:00:01, 05/29/23 06:43:56, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -104, , FM, 12, 00:00:02, 05/29/23 06:43:58, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -104, , FM, 13, 00:00:02, 05/29/23 06:44:01, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -104, , FM, 14, 00:00:00, 05/29/23 06:44:04, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -104, , FM, 15, 00:00:00, 05/29/23 06:44:05, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -105, , FM, 16, 00:00:00, 05/29/23 06:44:09, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -105, , FM, 17, 00:00:00, 05/29/23 06:44:10, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -105, , FM, 18, 00:00:00, 05/29/23 06:44:11, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -105, , FM, 19, 00:00:00, 05/29/23 06:44:12, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
, 29.600000, , -105, , FM, 20, 00:00:01, 05/29/23 06:44:13, Amateur Radio - USA, Simplex Frequencies - HF/VHF/UHF Simplex, 10m FM Simplex, Conventional, , Ham, -  -
